"Title","ID","Created Date","Updated Date","Owner","project","platform","month","year","amount","notes","addedToBoost","Company"
,"965ed034-5ca6-41cf-8c20-aced374432e9",2025-08-16T12:06:50Z,2025-08-25T18:46:31Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","90f5bb8e-1da9-441f-b63b-1941b663318b","Many Chat","7","2025",55,,,
,"9757e7bd-82ff-42b1-b97e-d1649e9fcbd1",2025-08-16T11:58:20Z,2025-08-25T18:46:31Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","f889f811-6e7f-489d-a7de-dee3fc249d28","Many Chat","7","2025",55,,,
,"9adc11ff-323c-4c7c-a139-afee9d128fa6",2025-08-16T10:40:14Z,2025-08-25T18:46:31Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","160e00a4-309a-40b8-aec3-1635e37cf211","Path Social","7","2025",253.92,"Used by KB",,
,"9c2a833e-0e93-41dc-8539-cdf0c9c79860",2026-02-22T07:50:58Z,2026-02-22T07:50:59Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","e423744b-213d-42a0-9c8b-bdb05a3187aa","Many Chat","1","2026",55,,,"Libya Build"
,"9d45672d-24e4-452c-8fa4-7c982846e7a4",2025-11-24T07:16:31Z,2026-02-09T20:08:07Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","e423744b-213d-42a0-9c8b-bdb05a3187aa","Meta Verified","10","2025",100,,,"Libya Build"
,"9e6f3b86-a853-4cc9-95ee-9583f9f15686",2025-08-16T11:42:37Z,2025-08-25T18:46:31Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","be5a7ff1-e84f-43fb-b6de-579ec9c8315d","Facebook Page Like","7","2025",775,,,
,"9f87e56d-f6a5-44b0-9e83-7dde9d83b190",2026-02-17T08:51:12Z,2026-02-17T08:51:16Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","160e00a4-309a-40b8-aec3-1635e37cf211","Many Chat","0","2026",55,,,"Kuwait Build"
,"a0813d88-1f8e-4238-b6bb-8f5d29488866",2026-02-17T08:51:03Z,2026-02-17T08:51:06Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","e423744b-213d-42a0-9c8b-bdb05a3187aa","Many Chat","0","2026",55,,,"Libya Build"
,"a1eaa130-7239-4acb-a3e4-d7823547f450",2026-02-17T08:52:02Z,2026-02-17T08:52:06Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","b7444ad8-e438-49ce-b78a-df4a2ed60dd8","Meta Verified","0","2026",100,,,"Code Libya"
,"a37cede3-e89d-4686-8328-c3a927a99ce6",2026-02-17T08:50:01Z,2026-02-17T08:50:03Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","b7444ad8-e438-49ce-b78a-df4a2ed60dd8","Many Chat","11","2025",55,,,"Code DXB"
,"a4a43cd4-a581-4bbb-bfc6-72f45d6d39c3",2026-02-17T08:49:34Z,2026-02-17T08:49:36Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","160e00a4-309a-40b8-aec3-1635e37cf211","Many Chat","11","2025",55,,,"Kuwait Build"
,"ad374990-4f0c-4d14-ad8d-22cc600d20a1",2026-02-22T07:56:11Z,2026-02-22T07:56:13Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","f889f811-6e7f-489d-a7de-dee3fc249d28","Many Chat","1","2026",55,,,"Mutant"
,"ada9e54a-f0dc-4512-a2c7-bbde4b6f44e9",2025-08-16T11:46:22Z,2025-08-25T18:46:31Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","ee7a662b-041f-4ebf-ab4f-a997775c4b75","Facebook Page Like","7","2025",775,,,
,"b37f6ac8-748d-433a-9dc7-3adc6d946370",2025-09-20T12:39:24Z,2025-09-20T12:40:48Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","be5a7ff1-e84f-43fb-b6de-579ec9c8315d","Many Chat","8","2025",55,,,"Code Libya"
,"b441981e-884d-48b9-ae64-0ae9d03b8293",2026-02-22T07:49:49Z,2026-02-22T07:49:57Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","160e00a4-309a-40b8-aec3-1635e37cf211","Meta Verified","0","2026",100,,,"Libya Build"
,"b455650d-229e-4961-818a-3d0a9301cb5c",2025-08-16T10:52:43Z,2025-08-25T18:46:31Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","b7444ad8-e438-49ce-b78a-df4a2ed60dd8","Many Chat","7","2025",55,,,
,"b5b15a45-3f3f-4080-b0d8-aa6e91754b2b",2025-10-01T09:38:25Z,2025-10-01T09:38:30Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","cf43c9d2-0680-46a6-bfb1-614177099a56","Many Chat","9","2025",55,,,"Flavour Fest"
,"b5c7ef1b-f1f1-4989-8eab-b857e3bfedb9",2025-11-24T07:16:15Z,2025-11-24T07:16:17Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","160e00a4-309a-40b8-aec3-1635e37cf211","Many Chat","10","2025",55,,,"Kuwait Build"
,"b5e383c6-5815-4dfd-a523-9ae7234ca154",2026-02-09T20:08:38Z,2026-02-09T20:09:00Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","b7444ad8-e438-49ce-b78a-df4a2ed60dd8","Meta Verified","10","2025",100,,,"Code Libya"
,"b6e9bb7b-0652-44f5-ae11-24d89fca9f6f",2026-02-22T07:50:46Z,2026-02-22T07:50:48Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","c27ec391-f198-49d2-a60e-6a3516fb252b","Many Chat","1","2026",55,,,"Horeca Libya"
,"b8469965-8c3e-4044-bc06-55cbf1acc518",2025-08-16T10:46:35Z,2025-08-25T18:46:31Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","e423744b-213d-42a0-9c8b-bdb05a3187aa","Meta Verified","7","2025",38.31,,,
,"b924b5ab-814a-4fbf-9aed-018bddeee08e",2026-02-22T07:56:44Z,2026-02-22T07:56:47Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","5dd8d88e-58bc-4e12-9cfb-55a3306b21cd","Many Chat","1","2026",55,,,"Elite Property"
